,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-07-16 14:57:31,2026-07-16 14:57:30,18550,1811.0,1154.0,94,5215.0,735.0,1869.0,22915,2026-07-13 15:39:39,0.7.0,27083.0,3869.0,100.0,"A SQL database in Rust: SQLite-compatible, now speaking Postgres. The LLVM of databases.",140.0,140.0,872.0,37,True,1,,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-07-16 17:20:30,2026-07-16 16:56:40,18116,1170.0,928.0,119,7642.0,861.0,2687.0,23226,2026-07-07 07:27:27,1.17.1,70276.0,1152.0,57.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2644.0,2644.0,718.0,36,False,1,,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-07-15 07:47:12,2026-07-15 07:34:42,1992,30.0,452.0,42,801.0,249.0,641.0,8261,2023-02-04 17:27:40,0.2.5,3664886.0,31868.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,150.0,32,True,1,,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-07-16 15:01:05,2026-07-16 15:01:05,1008,12.0,150.0,11,550.0,72.0,297.0,2919,2026-06-11 14:16:45,1.48.0,981077.0,35038.0,24.0,A snapshot testing library for rust.,20207.0,20207.0,74.0,32,True,1,,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-07-15 12:25:06,2026-07-15 12:16:01,25867,644.0,2065.0,74,8800.0,2853.0,5975.0,13364,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,40.0,40.0,1444.0,30,True,1,,
5,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2026-05-30 06:42:00,2026-05-30 06:42:00,1612,2.0,899.0,52,2129.0,855.0,596.0,6780,2026-04-17 13:23:32,tracing-appender-0.2.5,,,100.0,Application level tracing for Rust.,514714.0,514714.0,339.0,30,True,1,-1.0,
6,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-07-15 00:10:09,2026-07-15 00:10:07,1598,159.0,217.0,25,913.0,8.0,371.0,4660,2026-04-19 21:15:38,4.1.0,,,64.0,An embedded key-value database in pure Rust.,2557.0,2557.0,40.0,29,True,2,,
7,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-07-09 17:58:44,2026-07-09 17:58:04,588,30.0,125.0,12,478.0,84.0,300.0,2368,2026-07-09 17:58:46,0.20.2,9701991.0,122810.0,100.0,Cargo plugin for linting your dependencies.,108.0,108.0,86.0,28,True,2,,
8,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,Apache-2.0,2017-06-18 17:38:03,2026-05-27 03:48:49,2026-05-27 03:48:49,1151,18.0,215.0,19,362.0,137.0,172.0,2194,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,59258.0,59258.0,97.0,28,True,3,,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,MIT,2022-02-16 06:38:36,2026-07-08 00:23:33,2026-07-08 00:23:33,708,18.0,97.0,11,255.0,20.0,161.0,2575,2026-06-18 07:23:19,0.23.0,814705.0,15371.0,100.0,Compile Cargo project with zig as linker.,164.0,164.0,49.0,27,True,3,,
10,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,Apache-2.0,2022-11-26 19:26:15,2026-07-13 16:44:01,2026-07-13 16:44:01,977,37.0,237.0,16,143.0,5.0,382.0,2401,2026-03-05 05:41:17,2.0.0-rc.12,,,33.0,Fast ML inference & training for ONNX models in Rust.,5211.0,5211.0,74.0,27,True,1,,
11,russh,Eugeny/russh,['pure-rust'],ssh,https://github.com/Eugeny/russh,https://github.com/Eugeny/russh,Apache-2.0,2022-02-07 22:04:56,2026-07-06 12:19:17,2026-07-06 12:19:11,854,52.0,262.0,6,449.0,68.0,204.0,1789,2026-07-06 12:34:11,0.62.2,,,70.0,Rust SSH client & server library.,2480.0,2480.0,114.0,27,True,1,,
12,tonic,hyperium/tonic,[],isc,https://github.com/grpc/grpc-rust,https://github.com/grpc/grpc-rust,MIT,2019-08-09 17:59:37,2026-07-16 11:21:39,2026-07-15 17:04:30,1487,80.0,1199.0,75,1612.0,305.0,649.0,12368,2026-05-07 00:51:47,tonic-web-v0.14.6,78.0,3.0,24.0,A native gRPC client & server implementation with async/await support.,2.0,2.0,322.0,26,True,1,1.0,grpc/grpc-rust
13,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,MIT,2018-12-07 07:25:31,2026-07-12 09:06:45,2026-07-12 09:06:41,4302,74.0,189.0,27,815.0,56.0,347.0,1794,,,140.0,1.0,100.0,Rust Bindings for the Skia Graphics Library.,3105.0,3105.0,73.0,26,True,1,,
