,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-04-09 17:47:26,2026-04-09 13:22:01,16469,3822.0,824.0,79,4197.0,506.0,1576.0,18165,2026-04-02 07:40:39,0.5.3,10191.0,1455.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",86.0,86.0,240.0,36,True,1,-1.0,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-04-09 17:18:04,2026-04-09 17:18:04,16810,914.0,851.0,117,6732.0,770.0,2429.0,22196,2026-02-12 14:08:45,1.15.1,57312.0,988.0,53.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2500.0,2500.0,254.0,35,False,1,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,MIT,2019-08-09 17:59:37,2026-04-07 18:35:57,2026-04-07 18:35:57,1400,59.0,1156.0,71,1477.0,295.0,642.0,11957,2026-02-19 16:34:00,0.14.5,,,12.0,A native gRPC client & server implementation with async/await support.,52327.0,52327.0,308.0,34,True,1,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2026-04-06 10:09:37,2026-04-06 10:09:37,1609,11.0,855.0,51,2093.0,607.0,590.0,6617,2026-03-13 10:04:32,tracing-subscriber-0.3.23,,,100.0,Application level tracing for Rust.,486048.0,486048.0,314.0,32,True,1,1.0,
4,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-03-30 20:53:47,2026-03-30 20:48:11,996,20.0,147.0,11,532.0,71.0,279.0,2817,2026-03-30 20:57:07,1.47.2,664208.0,26568.0,23.0,A snapshot testing library for rust.,17514.0,17514.0,71.0,31,True,1,,
5,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-04-09 15:28:49,2026-04-09 15:20:47,25142,449.0,1941.0,74,8408.0,2661.0,5839.0,13037,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,40.0,40.0,1377.0,30,True,1,,
6,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-03-25 16:00:29,2026-03-25 15:39:14,1962,12.0,435.0,42,791.0,219.0,637.0,8099,2023-02-04 17:27:40,0.2.5,3211389.0,28673.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,146.0,30,True,1,,
7,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-04-05 03:55:56,2026-04-05 03:55:53,1419,19.0,205.0,26,741.0,8.0,367.0,4396,2026-04-02 23:05:31,4.0.0,,,63.0,An embedded key-value database in pure Rust.,1973.0,1973.0,38.0,28,True,2,,
8,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,MIT,2022-02-16 06:38:36,2026-03-25 23:16:01,2026-03-25 23:15:59,685,71.0,86.0,11,233.0,19.0,155.0,2415,2026-02-18 09:15:47,0.22.1,479416.0,9588.0,100.0,Compile Cargo project with zig as linker.,153.0,153.0,41.0,28,True,3,,
9,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-04-01 10:55:33,2026-04-01 10:55:12,548,10.0,118.0,12,452.0,81.0,286.0,2258,2026-01-08 12:12:51,0.19.0,6922484.0,85462.0,100.0,Cargo plugin for linting your dependencies.,105.0,105.0,79.0,28,True,2,,
