,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-05-14 17:55:30,2026-05-14 17:47:47,17388,3018.0,934.0,78,4639.0,721.0,1726.0,18768,2026-05-14 16:57:20,0.6.0,11994.0,1713.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,613.0,36,True,1,,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-05-14 17:28:24,2026-05-14 09:40:57,17273,1013.0,879.0,115,7040.0,853.0,2528.0,22590,2026-04-23 14:51:55,1.16.1,62630.0,1061.0,55.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2543.0,2543.0,633.0,35,False,1,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,MIT,2019-08-09 17:59:37,2026-05-14 18:07:10,2026-05-14 07:33:11,1436,83.0,1206.0,71,1529.0,349.0,644.0,12033,2026-05-07 00:51:47,tonic-web-v0.14.6,,,20.0,A native gRPC client & server implementation with async/await support.,53495.0,53495.0,312.0,33,True,1,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2026-04-29 20:49:43,2026-04-29 20:49:43,1611,13.0,884.0,51,2100.0,823.0,593.0,6676,2026-04-17 13:23:32,tracing-appender-0.2.5,,,100.0,Application level tracing for Rust.,496276.0,496276.0,337.0,32,True,1,,
4,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-05-13 17:18:24,2026-05-13 17:18:24,998,13.0,147.0,11,536.0,71.0,282.0,2860,2026-03-30 20:57:07,1.47.2,777812.0,29915.0,23.0,A snapshot testing library for rust.,18465.0,18465.0,72.0,31,True,1,,
5,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-05-13 17:35:44,2026-05-13 17:26:04,25312,443.0,1983.0,74,8512.0,2731.0,5879.0,13160,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,40.0,40.0,1398.0,30,True,1,,
6,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-04-23 05:25:27,2026-04-23 05:21:47,1964,7.0,452.0,42,794.0,249.0,638.0,8164,2023-02-04 17:27:40,0.2.5,3356194.0,29700.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,147.0,30,True,1,,
7,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-05-14 16:36:27,2026-05-14 16:36:24,1555,154.0,209.0,25,872.0,8.0,370.0,4492,2026-04-19 21:15:38,4.1.0,,,64.0,An embedded key-value database in pure Rust.,2151.0,2151.0,38.0,29,True,2,,
8,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-05-11 10:50:46,2026-05-11 10:50:02,564,25.0,120.0,12,460.0,85.0,291.0,2301,2026-05-11 10:50:29,0.19.6,7723622.0,99020.0,100.0,Cargo plugin for linting your dependencies.,107.0,107.0,81.0,28,True,2,,
9,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,Apache-2.0,2022-11-26 19:26:15,2026-05-14 15:01:56,2026-05-14 15:01:51,955,89.0,230.0,15,136.0,5.0,367.0,2250,2026-03-05 05:41:17,2.0.0-rc.12,,,33.0,Fast ML inference & training for ONNX models in Rust.,4537.0,4537.0,71.0,28,True,1,,
