,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,trending
38,Native DB,vincent-herlemont/native_db,[],edb,https://github.com/vincent-herlemont/native_db,83.0,83.0,19.0,https://github.com/vincent-herlemont/native_db,MIT,2023-05-09 19:14:39.000,2025-07-08 09:45:24,12,31.0,28.0,608.0,Drop-in embedded database in Rust.,True,3.0,
39,SSH,RustCrypto/SSH,['pure-rust'],ssh,https://github.com/RustCrypto/SSH,,,34.0,https://github.com/RustCrypto/SSH,,2022-09-25 17:17:29.000,2026-06-29 16:06:54,12,60.0,8.0,237.0,Pure Rust implementation of components of the Secure Shell (SSH) protocol.,False,3.0,
40,rust-fsm,eugene-babichenko/rust-fsm,[],fsm,https://github.com/eugene-babichenko/rust-fsm,167.0,167.0,7.0,https://github.com/eugene-babichenko/rust-fsm,MIT,2019-01-20 12:51:27.000,2025-07-21 09:41:06,12,23.0,1.0,212.0,Finite state machine framework for Rust with readable specifications.,True,1.0,
41,cyclonedx-rust-cargo,CycloneDX/cyclonedx-rust-cargo,[],tools,https://github.com/CycloneDX/cyclonedx-rust-cargo,20.0,20.0,39.0,https://github.com/CycloneDX/cyclonedx-rust-cargo,Apache-2.0,2019-05-21 20:48:15.000,2026-03-19 09:31:32,12,54.0,36.0,159.0,Creates CycloneDX Software Bill of Materials (SBOM) from Rust (Cargo) projects.,True,3.0,
42,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,167.0,167.0,30.0,https://github.com/sequenceplanner/r2r,,2019-08-20 09:10:16.000,2025-04-22 08:30:50,11,48.0,9.0,355.0,Minimal ROS 2 Rust bindings.,False,3.0,
43,modbus-rs,hirschenberger/modbus-rs,[],modbus,https://github.com/hirschenberger/modbus-rs,46.0,46.0,12.0,https://github.com/hirschenberger/modbus-rs,MIT,2015-11-03 01:00:32.000,2026-02-25 13:33:32,11,31.0,7.0,108.0,Modbus implementation in pure Rust.,True,3.0,
44,snmp2,roboplc/snmp2,[],nmp,https://github.com/roboplc/snmp2,33.0,33.0,15.0,https://github.com/roboplc/snmp2,Apache-2.0,2024-12-30 17:00:44.459,2026-07-12 15:22:10,11,24.0,8.0,55.0,Dependency-free basic SNMP v1/v2/v3 client in Rust.,False,1.0,1.0
45,ftdi-embedded-hal,ftdi-rs/ftdi-embedded-hal,[],chip-drivers,https://github.com/ftdi-rs/ftdi-embedded-hal,61.0,61.0,16.0,https://github.com/ftdi-rs/ftdi-embedded-hal,MIT,2021-09-26 16:00:45.000,2026-01-03 18:44:06,11,22.0,5.0,43.0,Implementation of Rust Embedded HAL traits for FTDI devices.,False,1.0,
46,statime,pendulum-project/statime,[],time-sync,https://github.com/pendulum-project/statime,9.0,9.0,22.0,https://github.com/pendulum-project/statime,,2022-01-04 09:29:54.000,2026-06-22 10:19:51,10,32.0,26.0,304.0,Implementation of the Precision Time Protocol (PTP) in Rust.,False,3.0,
47,meta-rust,meta-rust/meta-rust,[],yocto-integration,https://github.com/meta-rust/meta-rust,,,79.0,https://github.com/meta-rust/meta-rust,MIT,2014-10-20 21:31:22.000,2025-06-29 19:18:01,10,132.0,63.0,226.0,OpenEmbedded/Yocto layer for Rust and Cargo.,False,1.0,
48,rust-industrial-io,fpagliughi/rust-industrial-io,[],iio,https://github.com/fpagliughi/rust-industrial-io,25.0,25.0,13.0,https://github.com/fpagliughi/rust-industrial-io,MIT,2018-10-07 23:42:44.000,2025-09-13 23:27:05,10,25.0,5.0,52.0,Rust interface to the Linux Industrial I/O subsystem.,False,1.0,
49,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,163.0,163.0,17.0,https://github.com/KillingSpark/rustbus,MIT,2020-01-22 11:05:05.000,2023-08-29 16:50:59,10,11.0,4.0,47.0,Dbus transport in pure rust.,False,2.0,
50,Tonbo,tonbo-io/tonbo,[],edb,https://github.com/tonbo-io/tonbo,1.0,1.0,25.0,https://github.com/tonbo-io/tonbo,,2024-07-19 10:13:46.712,2025-12-10 07:43:17,9,83.0,31.0,1223.0,A portable embedded database using Arrow.,False,3.0,
51,cargo-call-stack,japaric/cargo-call-stack,[],tools,https://github.com/japaric/cargo-call-stack,1.0,1.0,11.0,https://github.com/japaric/cargo-call-stack,Apache-2.0,2018-12-03 01:52:30.000,2024-10-28 17:29:02,9,51.0,37.0,563.0,Whole program static stack analysis.,False,3.0,
52,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,,,19.0,https://github.com/awslabs/duvet,Apache-2.0,2021-06-01 21:00:39.000,2026-04-02 23:42:08,8,21.0,40.0,126.0,A requirements traceability tool.,False,3.0,
53,zbus,dbus2/zbus,['dbus'],ipc,{},50675.0,50675.0,144.0,,,,,8,,,,,False,2.0,-18.0
54,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-integration,https://github.com/rust-embedded/meta-rust-bin,,,48.0,https://github.com/rust-embedded/meta-rust-bin,,2016-09-02 06:04:55.000,2024-04-10 09:59:18,7,58.0,13.0,94.0,Yocto layer for installing Rust toolchain from pre-built binaries.,False,3.0,
55,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,,,19.0,https://github.com/OpenLEADR/openleadr-rs,,2024-10-30 13:40:08.337,2026-06-16 14:13:33,7,24.0,19.0,91.0,OpenADR 3.0 VTN and VEN implementation in Rust.,False,1.0,
56,modbus-core,slowtec/modbus-core,[],modbus,https://github.com/slowtec/modbus-core,4.0,4.0,9.0,https://github.com/slowtec/modbus-core,,2018-12-11 13:50:43.000,2025-09-30 16:32:22,7,21.0,4.0,57.0,A pure no-std Rust modbus library.,False,3.0,
57,rust-extfsm,przygienda/rust-extfsm,[],fsm,https://github.com/przygienda/rust-extfsm,,,6.0,https://github.com/przygienda/rust-extfsm,Apache-2.0,2017-07-05 05:56:13.000,2022-01-30 19:10:29,7,7.0,,49.0,Extended Finite State Machine library in Rust with internal event queue and entry/exit transitions.,False,3.0,
58,mctp-rs,CodeConstruct/mctp-rs,[],platform-management,https://github.com/CodeConstruct/mctp-rs,9.0,9.0,9.0,https://github.com/CodeConstruct/mctp-rs,Apache-2.0,2024-06-24 08:05:02.010,2025-06-09 07:46:25,7,3.0,,8.0,"Rust crates for MCTP protocol support, on Linux and embedded.",False,1.0,
59,snmp_mp,davedufresne/modern_snmp,[],nmp,https://github.com/davedufresne/modern_snmp,,,2.0,https://github.com/davedufresne/modern_snmp,Apache-2.0,2020-07-18 13:10:42.000,2024-08-21 14:14:15,6,5.0,1.0,22.0,A pure-Rust library for SNMPv3.,False,3.0,1.0
60,tss2-fapi-rs,tpm2-software/rust-tss-fapi,[],tpm,https://github.com/tpm2-software/rust-tss-fapi,,,2.0,https://github.com/tpm2-software/rust-tss-fapi,,2024-10-15 12:20:09.702,2026-07-13 18:26:25,6,1.0,,18.0,Rust wrapper for the TSS 2.0 FAPI.,False,1.0,
61,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,,,7.0,https://github.com/slint-ui/meta-slint,MIT,2022-12-07 14:53:07.000,2025-12-09 13:28:08,6,9.0,2.0,17.0,A Yocto layer with recipes for building Slint.,False,1.0,
62,mockalloc,diggsey/mockalloc,[],testing,https://github.com/diggsey/mockalloc,34.0,34.0,2.0,https://github.com/diggsey/mockalloc,,2020-11-13 02:37:34.000,2024-03-20 12:49:57,6,2.0,,13.0,Rust library for testing code relying on the global allocator.,False,3.0,4.0
63,sunspec,bikeshedder/sunspec,[],smart-grid-protocols,https://github.com/bikeshedder/sunspec,2.0,2.0,3.0,https://github.com/bikeshedder/sunspec,Apache-2.0,2023-10-31 20:28:16.000,2026-04-01 20:55:04,6,7.0,5.0,8.0,Rust crate for accessing SunSpec compliant devices in a safe and convenient way.,False,2.0,
64,dbus-bytestream,srwalter/dbus-bytestream,['dbus'],ipc,https://github.com/srwalter/dbus-bytestream,6.0,6.0,4.0,https://github.com/srwalter/dbus-bytestream,LGPL-2.1,2015-06-28 04:47:09.000,2018-10-18 13:29:47,6,4.0,4.0,6.0,Native D-Bus implementation for Rust.,False,3.0,
65,knxkit,knxkit/knxkit,[],home-automation-protocols,https://github.com/knxkit/knxkit,3.0,3.0,1.0,https://github.com/knxkit/knxkit,EPL-2.0,2024-12-30 18:00:28.036,2025-10-14 18:03:29,6,1.0,,5.0,,False,3.0,1.0
